hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,alpha_used,eta
223,52.234254,.8547403,.0449033,.9040179,15565,,0,0,.0344152,.2472803,4520.221,-4520.221,0,0,80,52.23425,5
225,38.907816,.4566775,.0191371,.8984506,4517,,0,0,.0391744,.3628295,992.8283,-992.8284,0,0,35,38.90781,5
226,25.258509,.5125167,.015338,.9028435,2663,,0,0,.0415476,.1760431,111.5441,-111.5441,0,0,60,25.25851,5
227,44.469366,.6634423,.0402624,.9038106,21688,,0,0,.0439747,.4016222,7539.333,-7539.333,0,0,99,44.46937,5
230,52.853979,.5302695,.02009,.9131502,3286,,0,0,.0409282,.2599302,913.9738,-913.9738,0,0,63,52.85398,5
231,33.449202,.5513194,.0164654,.9096581,1086,,0,0,.036276,.2185667,245.3826,-245.3826,0,0,61,33.4492,5
232,38.956918,.5932639,.0191056,.8934687,6105,,0,0,.0383313,.2733062,1243.775,-1243.775,0,0,90,38.95692,5
233,29.452196,.4510388,.015939,.8919693,2518,,0,0,.038127,.2667381,254.8567,-254.8567,0,0,58,29.4522,5
235,27.496991,.6425772,.0210946,.8871221,2963,,0,0,.0362718,.1785907,1111.914,-1111.914,0,0,72,27.49699,5
236,46.260047,.7116846,.048178,.9025839,2560,,0,0,.0367388,.4538149,1289.718,-1289.718,0,0,51,46.26005,5
238,42.254107,.5657627,.0323096,.9014195,2768,,0,0,.0433619,.3678905,743.6716,-743.6716,0,0,69,42.25411,5
239,53.165302,.5338607,.0298968,.8979794,3664,,0,0,.0343894,.4059393,843.1119,-843.1119,0,0,63,53.1653,5
240,61.972969,.3928688,.0177914,.8568203,528,,0,0,.0420448,.3456188,192.2209,-192.2209,0,0,,61.97297,5
242,36.374571,.4913614,.0330672,.9201397,1196,,0,0,.0339612,.6828961,397.5712,-397.5712,0,0,18,36.37457,5
243,26.577256,.3552033,.0067241,.8927104,802,,0,0,.0411375,.1512333,-4.123739,4.123735,0,0,,26.57726,5
244,41.940602,.5772688,.0289747,.900971,2519,,0,0,.0425287,.3501697,631.9067,-631.9067,0,0,65,41.9406,5
245,28.203785,.6306025,.0220895,.8929504,3393,,0,0,.0417002,.2099453,596.8942,-596.8942,0,0,64,28.20378,5
246,47.34689,.6027546,.0359866,.8843623,3334,,0,0,.0346561,.428225,1583.13,-1583.13,0,0,59,47.34689,5
248,28.441094,.5289993,.015354,.9217636,804,,0,0,.040495,.1892152,66.67191,-66.67192,0,0,27,28.44109,5
249,55.917965,.3495996,.0129269,.9187505,1561,,0,0,.0383921,.2895274,77.70626,-77.70625,0,0,18,55.91796,5
250,23.782279,.3062349,.002761,.90024,1224,,0,0,.0239976,.1560171,81.37653,-81.37653,0,0,,23.78228,5
251,31.400345,.4848898,.0177043,.8973728,5801,,0,0,.0364479,.306756,1277.717,-1277.717,0,0,52,31.40034,5
253,57.105873,.506441,.0092877,.9011839,793,,0,0,.0223927,.416745,161.2146,-161.2146,0,0,21,57.10587,5
254,43.498864,.3379744,.0087701,.9069703,352,,0,0,.0251051,.6315969,74.23811,-74.23811,0,0,13,43.49886,5
256,38.878286,.5494092,.0121024,.9037345,1892,,0,0,.0313318,.2147624,-115.2493,115.2493,0,0,18,38.87828,5
257,12.247797,.3536669,.002645,.8966276,835,,0,0,.0388891,.063838,121.5645,-121.5645,0,0,16,12.2478,5
