hrr,cf_type,eta,tot_patients,qual_change,spend_change,wt_qual_base_mean,wt_qual_base_p10,wt_qual_base_p25,wt_qual_base_p75,wt_qual_base_p90,wt_qual_cf_mean,wt_qual_cf_p10,wt_qual_cf_p25,wt_qual_cf_p75,wt_qual_cf_p90,wt_spend_base_mean,wt_spend_base_p10,wt_spend_base_p25,wt_spend_base_p75,wt_spend_base_p90,wt_spend_cf_mean,wt_spend_cf_p10,wt_spend_cf_p25,wt_spend_cf_p75,wt_spend_cf_p90
246,"current",1,3334,-.0007101,,.8843719,.849711,.8635395,.9076034,.93,.8836618,.849711,.8635395,.9074074,.93,,,,,,,,,,
248,"current",1,804,.0010265,,.9217506,.897474,.9213995,.9330944,.9545454,.9227771,.897474,.9213995,.925988,.9545454,,,,,,,,,,
249,"current",1,1561,-.0021597,,.9187512,.8983051,.9113924,.9285714,.9339623,.9165915,.9105263,.9113924,.9285714,.9339623,,,,,,,,,,
250,"current",1,1224,.001431,,.9002451,.8765432,.8765432,.9104331,.9104331,.9016761,.8765432,.8979938,.9104331,.9104331,,,,,,,,,,
251,"current",1,5801,.0001653,,.8973791,.8765586,.8780488,.9050847,.9222479,.8975444,.8765586,.8780488,.9050847,.9222479,,,,,,,,,,
253,"current",1,793,-.0009986,,.9011847,.8784404,.8979938,.904741,.9179487,.9001861,.8784404,.8975903,.904741,.9178177,,,,,,,,,,
254,"current",1,352,-.0013409,,.9069703,.894081,.8984771,.9130435,.9306723,.9056294,.8984771,.8984771,.9063308,.9306723,,,,,,,,,,
256,"current",1,1892,-.0010268,,.9037386,.9037711,.9037711,.9063308,.9122292,.9027118,.88,.9037711,.9063308,.9122292,,,,,,,,,,
257,"current",1,835,-.002801,,.8966038,.8614131,.890852,.9309211,.9309211,.8938028,.8267717,.890852,.9309211,.9309211,,,,,,,,,,
258,"current",1,1329,-.0038309,,.8852914,.8311688,.8671328,.8977424,.8977424,.8814605,.8311688,.8658009,.8977424,.8977424,,,,,,,,,,
259,"current",1,2437,-.0078018,,.897958,.8438818,.9105883,.9133649,.9133649,.8901563,.7987805,.8977424,.9133649,.9133649,,,,,,,,,,
260,"current",1,412,-.0005284,,.9095209,.8965517,.8965517,.9282297,.9282297,.9089925,.8965517,.8965517,.9282297,.9282297,,,,,,,,,,
261,"current",1,576,.0007422,,.8941808,.8656716,.8900463,.9169139,.9186345,.894923,.8837209,.8900463,.9169139,.9186345,,,,,,,,,,
262,"current",1,1752,.0006352,,.9023415,.8438818,.890625,.9184588,.9184588,.9029768,.8438818,.890625,.9184588,.9184588,,,,,,,,,,
263,"current",1,732,.0001424,,.9047073,.8727142,.9085873,.9085873,.9085873,.9048496,.8727142,.9085873,.9085873,.9085873,,,,,,,,,,
264,"current",1,2777,-.0080901,,.8767627,.8358209,.8531073,.8927125,.9096045,.8686726,.8358209,.8358209,.891,.8971962,,,,,,,,,,
267,"current",1,2500,-.0009437,,.8924175,.8947135,.8947135,.8947135,.8947135,.8914738,.8947135,.8947135,.8947135,.8947135,,,,,,,,,,
268,"current",1,12506,-.0042118,,.8972219,.8504099,.8783415,.9098026,.9264271,.8930101,.8450704,.8699552,.9098026,.9264271,,,,,,,,,,
270,"current",1,3274,.0009075,,.9062285,.9008985,.9008985,.9150943,.9232895,.907136,.9008985,.9008985,.9232895,.9232895,,,,,,,,,,
273,"current",1,12981,.0020308,,.8927622,.8754871,.8763285,.9176334,.9231398,.894793,.8727142,.8820153,.9176334,.9231398,,,,,,,,,,
276,"current",1,1935,.0000663,,.9081274,.8461539,.9038461,.924185,.9306358,.9081937,.8868778,.9038461,.924185,.9306358,,,,,,,,,,
277,"current",1,5016,-.0017148,,.9165332,.8933649,.9158908,.923951,.9287926,.9148184,.8933649,.9158908,.923951,.9287926,,,,,,,,,,
278,"current",1,9540,-.0121963,,.9151456,.8819048,.8933649,.9275189,.9347826,.9029493,.8881279,.8933649,.9222999,.9336016,,,,,,,,,,
279,"current",1,3345,.0002046,,.8951284,.8829982,.8829982,.902834,.9193549,.895333,.8829982,.8829982,.902834,.9193549,,,,,,,,,,
281,"current",1,880,.0010021,,.9229154,.9037207,.9037207,.9453125,.9553571,.9239175,.9037207,.9037207,.9453125,.9553571,,,,,,,,,,
282,"current",1,4403,-.000596,,.9093176,.8894899,.8894899,.9186653,.9301701,.9087216,.8894899,.9025522,.9186653,.9301701,,,,,,,,,,
283,"current",1,18800,.0033246,,.9013048,.8609626,.8904482,.9181185,.9275053,.9046294,.8632479,.9032258,.9153486,.9181185,,,,,,,,,,
284,"current",1,3556,-.0006164,,.9041471,.8663968,.8880597,.9188312,.9382522,.9035307,.8626866,.8877551,.9188312,.9382522,,,,,,,,,,
285,"current",1,3196,-.0001848,,.9086083,.8774663,.906556,.920904,.9319481,.9084235,.8774663,.9052632,.9182156,.9377778,,,,,,,,,,
288,"current",1,3102,-.0002641,,.9047139,.8761062,.8936664,.9142281,.9247136,.9044498,.8761062,.8936664,.9153486,.9295393,,,,,,,,,,
289,"current",1,1533,-.0004487,,.9023255,.8584071,.8872458,.920354,.9376258,.9018768,.8584071,.8872458,.920354,.9382522,,,,,,,,,,
291,"current",1,1237,-.000223,,.8955194,.8394161,.8701299,.9188312,.9377778,.8952963,.8394161,.8701299,.9188312,.9377778,,,,,,,,,,
292,"current",1,1916,-.00037,,.9092717,.8761905,.90625,.9188312,.9376258,.9089017,.8729097,.9019102,.9188312,.9377778,,,,,,,,,,
295,"current",1,7705,-.0002775,,.906497,.9018075,.9065279,.9085783,.9124861,.9062195,.8897932,.9047619,.9085783,.9124861,,,,,,,,,,
296,"current",1,1585,.0012861,,.9034635,.879257,.8849638,.9116608,.9164706,.9047496,.879257,.8849638,.9116608,.9353083,,,,,,,,,,
297,"current",1,539,-.000168,,.9094938,.8628049,.906556,.9349471,.9386503,.9093258,.8628049,.906556,.9349471,.9400545,,,,,,,,,,
299,"current",1,2355,-.0009243,,.9117014,.8967254,.8967254,.9237393,.9422522,.9107772,.8967254,.8967254,.9237393,.9422522,,,,,,,,,,
300,"current",1,1506,-.0012703,,.9048402,.8844086,.8863869,.9353083,.9353083,.9035699,.8844086,.8863869,.9353083,.9353083,,,,,,,,,,
301,"current",1,14849,.0025186,,.908657,.8710217,.8908272,.9253247,.9400545,.9111756,.8833424,.9094488,.9191729,.9253247,,,,,,,,,,
303,"current",1,4674,.0000808,,.9112645,.8683948,.906556,.9375,.9408397,.9113452,.8683948,.9026393,.9375,.9408397,,,,,,,,,,
