coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.04348676,.00425018,96,5,1,-6444.677,8.060e-32,0,3310,311,136,10.10574,41.72968,.4856782,1.993619,.1079693,.0129909,.9208477,64,280
-.07649354,.01130577,101,1,1,-1385.079,2.031e-21,0,1101,132,51,5.955495,51.74155,.8150289,1.968921,.1566778,.1298819,.9172428,21,103
-.07649354,.01130577,101,5,1,-1385.079,9.687e-42,0,1101,132,51,5.955495,51.74155,.8150289,1.968921,.1566778,.1298819,.9172428,21,103
-.04465779,.0025778,102,1,1,-5058.955,0,0,4050,371,140,7.152593,72.74994,.8213422,2.731592,.1462095,.0767901,.913579,30,241
-.0446557,.00257808,102,5,1,-5058.978,1.14e-168,0,4050,371,140,7.152593,72.74994,.8213422,2.731592,.1462095,.0767901,.913579,30,241
-.02841102,.00326868,104,1,1,-1183.754,1.4323723,.4570609,2257,206,80,4.274701,175.3232,1.398622,2.597322,.492412,.0948161,.9156075,20,148
-.02829056,.00323798,104,5,1,-1184.99,1.8668908,.7730029,2257,206,80,4.274701,175.3232,1.398622,2.597322,.492412,.0948161,.9156075,20,148
-.05554949,.00427998,105,1,1,-1027.344,.75089106,.6679006,2161,213,115,4.541416,40.62214,.6030151,1.184284,.1597764,.0522906,.9342116,16,134
-.05550793,.00427356,105,5,1,-1027.496,1.2620064,1.349235,2161,213,115,4.541416,40.62214,.6030151,1.184284,.1597764,.0522906,.9342116,16,134
-.04273017,.00673474,106,1,1,-1478.609,5.931e-21,0,1995,213,75,3.893233,151.5765,1.175246,2.658094,.3712386,.1598998,.9042342,24,174
-.02318156,.01015674,107,1,1,-1914.926,1.589e-14,0,1302,96,51,8.771121,47.59228,.6358382,2.935858,.1383149,.109063,.8988989,11,69
-.02318156,.01015674,107,5,1,-1914.926,2.582e-18,0,1302,96,51,8.771121,47.59228,.6358382,2.935858,.1383149,.109063,.8988989,11,69
-.08207551,.00532423,109,1,1,-4384.855,3.728e-28,2.54e-25,3146,332,155,7.252384,79.84679,.7849104,2.364507,.1119827,.0104895,.9081405,76,274
-.08207046,.00532921,109,5,1,-4384.859,2.108e-16,0,3146,332,155,7.252384,79.84679,.7849104,2.364507,.1119827,.0104895,.9081405,76,274
-.10536187,.00392305,110,1,1,-9170.927,0,0,6564,648,240,6.109232,112.888,.7826254,2.250957,.1227582,.0457038,.8995527,83,553
-.10535432,.00392333,110,5,1,-9171.057,1.935e-17,0,6564,648,240,6.109232,112.888,.7826254,2.250957,.1227582,.0457038,.8995527,83,553
-.11237508,.00356734,111,1,1,-11745.27,.2846329,.16052,8250,743,241,5.814061,91.85189,.8838295,2.552417,.0793108,.0252121,.8961834,108,659
-.11235517,.00356926,111,5,1,-11745.88,.45452435,.2992847,8250,743,241,5.814061,91.85189,.8838295,2.552417,.0793108,.0252121,.8961834,108,659
