hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
170,.18957239,.2659574,.0012249,.9057777,4417,-.0196204,1.346894,6.272684,.037779,.0325832,-74.28165,74.28165,-.855687,-1.145606,43,5
171,1.313e-13,.5122436,-.0027527,.9027888,4993,.2369388,2.03429,16.58836,.0298294,-.038777,568.9156,-568.9156,.9842619,.2743426,64,5
172,0,.2894378,-.0003982,.8908373,2801,.0524482,2.154723,16.01477,.0357876,-.0136166,-110.1248,110.1248,-1.040554,-1.796171,55,5
173,1.6744211,.4269234,.0049687,.8902319,1398,.0918858,3.862987,15.88524,.032418,.1922497,174.6232,-174.6232,-1.898663,-1.774156,29,5
175,0,.3667797,.0067228,.9078542,1220,.4387624,.9159942,3.545343,.03589,.154884,-102.4165,102.4165,.8223089,-.1625243,15,5
179,.41662624,.2817689,-.0005274,.908576,4474,.0276756,1.029731,4.626433,.0282701,-.0158733,-315.153,315.153,-.9599619,-.9502993,35,5
180,.64600312,.3081414,.0017536,.889009,3706,-.0830813,3.884727,16.5293,.0419177,.0292132,558.2394,-558.2394,-3.415205,-1.365688,43,5
181,4.831e-36,.4504533,-.0049407,.898279,2511,.0628425,2.083937,15.90243,.0403133,-.0563669,-434.6225,434.6225,-.640321,-.5325794,53,5
183,.13931498,.5363102,.000022,.9051222,13097,.213015,.7292265,3.581421,.0609001,.0001998,1478.477,-1478.477,.1635926,.1825584,80,5
184,1.0709976,.2361561,.003264,.8997794,1307,.6127162,2.575146,12.89531,.0312412,.1587401,162.7534,-162.7534,-.7633814,-1.852257,22,5
185,1.3809354,.3688545,.0088203,.891944,1006,.1757755,1.056284,3.966976,.0326706,.1927273,189.4528,-189.4528,.262844,-.1888694,16,5
186,.80460745,.2967843,-.0016492,.8931858,1564,.1835077,2.234158,15.56766,.0360704,-.0703483,-53.7734,53.77341,-.3538409,-1.22859,45,5
187,.4744838,.4291581,-.005079,.9158673,3999,.4017478,3.519452,16.74214,.0379935,-.0836302,-725.7185,725.7186,1.403892,-1.097468,36,5
188,.44377238,.2909694,-.0028125,.8954713,1017,.4213136,.8854881,3.28638,.0975672,-.0508682,-58.43246,58.43246,-.2246876,-1.032103,25,5
190,2.1063552,.1283975,-.0008353,.8981609,2189,.1548322,.7010406,1.791887,.0236608,-.2239343,-58.95048,58.95045,-1.046981,-1.355169,12,5
191,.62418011,.2162834,.000208,.9035611,4565,.3958328,1.193217,4.018403,.0306773,.0120522,-200.4105,200.4105,-.9101687,-1.437337,25,5
192,.59708376,.4823422,-.0077926,.9101185,6403,.0477056,1.009955,3.583494,.0396487,-.0858021,-1780.072,1780.072,-.8873378,-1.13213,34,5
193,.05546715,.3143054,.0017268,.9053766,860,-.3015083,1.12829,3.873847,.0241185,.0824457,99.2908,-99.2908,.0407776,.8605235,17,5
194,.05977357,.3669059,-.0060199,.9098061,2055,.1711617,1.507315,4.482257,.0387726,-.1188958,-387.7341,387.7341,1.1461,.5581442,18,5
195,1.17e-124,.2550663,.0003251,.9051055,939,.3768758,.5681122,1.752496,.0223866,.0187433,-101.4643,101.4643,.492836,.2979335,,5
196,1.1119467,.1886592,.0001021,.9056373,1618,.1484962,3.969552,15.00809,.0216751,.0082261,141.0724,-141.0724,.1215522,-2.151367,13,5
197,.80331514,.3053074,.0056299,.8885861,1338,-.2450121,4.243391,15.8064,.0187084,.3446006,165.0917,-165.0917,-2.611035,-.0836799,,5
200,.69578098,.4179638,.0020862,.9095343,3688,.0634541,2.516471,14.20048,.044205,.0246129,-316.0895,316.0895,-.9725349,-2.386228,30,5
203,5.642e-30,.4151399,.0029847,.8987314,2166,.5123311,1.201284,4.816912,.0256718,.0685359,-392.3546,392.3547,1.431836,.7159635,17,5
204,.28499123,.2781706,-.0024227,.8866485,2605,.4671156,1.215688,5.581223,.0538617,-.0805435,-141.6192,141.6192,.3772206,-.0550608,49,5
205,0,.4768208,-.0014363,.8992677,10402,.3206506,.9315917,3.406072,.0429459,-.0155509,406.2617,-406.2617,-.436982,-1.12324,48,5
207,7.73e-103,.2849384,.0031874,.8935699,301,.375353,6.700353,17.29908,.0186315,.283091,40.11507,-40.11507,-1.747893,-4.739404,15,5
