hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
236,.20043765,.2471682,-.0009333,.9025839,2560,.0028759,3.287967,17.58447,.0367388,-.0398727,5.081184,-5.081175,-1.945505,-.7290589,51,5
238,.18595604,.2083647,.0022839,.9014195,2768,.0313405,1.963389,16.13525,.0433619,.0530158,5.834483,-5.834477,2.360532,1.6006,69,5
239,.33993769,.2210823,-.0022949,.8979794,3664,.0340124,1.138758,5.043892,.0343894,-.0981861,-152.7125,152.7125,-.9892428,-1.135353,63,5
240,4.7187656,.0226834,.000447,.8568203,528,.493249,2.197958,6.258923,.0420448,.6010152,1.997623,-1.997622,-4.43296,-4.884427,,5
242,1.1182432,.1603939,.0014032,.9201397,1196,-.1060308,4.803873,16.44473,.0339612,.1624837,-3.843079,3.843082,-4.039433,-1.276053,18,5
243,1.3380244,.123002,.0012073,.8927104,802,.7350643,1.210917,3.713178,.0411375,.191648,23.93707,-23.93707,-.4236502,-2.274639,,5
244,1.07054,.2814604,-.0014362,.900971,2519,.00841,1.454196,7.20916,.0425287,-.0853824,-94.25409,94.25408,.8277406,1.030251,65,5
245,.1680817,.2320706,-.0005533,.8929504,3393,.2996401,1.212111,5.742219,.0417002,-.02896,-77.9557,77.9557,.5684562,.0576048,64,5
246,.50803503,.2263869,-.0004966,.8843623,3334,.1243752,3.734084,16.40311,.0346561,-.0484264,-5.891666,5.891662,-.3851946,-.6161681,59,5
248,.6013375,.2092406,.0011497,.9217636,804,-.1286981,.9957306,3.701463,.040495,.0586679,40.5979,-40.5979,.2222608,.4726169,27,5
249,.98380428,.1980356,-.0019765,.9187505,1561,.439276,3.57037,15.92118,.0383921,-.0781344,28.82887,-28.82887,-1.466476,-4.467141,18,5
250,.31383973,.1882534,.0014817,.90024,1224,.083337,1.082948,3.814565,.0239976,.2153587,58.03857,-58.03857,-.3235788,-.7597229,,5
251,4.355e-22,.2465974,.0001769,.8973728,5801,.1925965,.7542137,2.876205,.0364479,.0122453,30.02512,-30.02511,-1.705029,-1.731046,52,5
253,.52239139,.1922059,-.0009738,.9011839,793,.0735933,3.107593,15.05739,.0223927,-.2250056,-26.60147,26.60147,.8181385,-.5400334,21,5
254,5.536e-22,.2079993,-.0013405,.9069703,352,.3662395,3.926878,14.72117,.0251051,-.1168718,-30.61393,30.61393,.3301153,-1.728689,13,5
256,0,.1848941,-.0010285,.9037345,1892,.2645429,1.189584,4.487723,.0313318,-.1527217,-62.47335,62.47335,.7022424,.147373,18,5
257,.56753833,.187434,-.0026178,.8966276,835,-.08317,3.609293,16.01006,.0388891,-.1118514,42.91988,-42.91988,-1.746351,-.2348205,16,5
258,0,.1689828,-.0038231,.8853428,1329,.1853241,3.321098,14.32756,.0339178,-.407235,-86.93054,86.93053,-.5246845,-1.730237,17,5
259,.85588321,.1934227,-.0069932,.8979254,2437,.2623554,.7791185,3.175219,.0503174,-.2438767,-154.2887,154.2887,-1.018051,-1.386439,32,5
260,.21335832,.1056289,-.0004113,.9095367,412,.6069707,4.216145,15.40898,.0355145,-.0725482,-4.804391,4.804389,.8991204,-2.210535,,5
261,1.4982328,.1516329,.0009656,.8941946,576,-.1375098,3.470835,15.82103,.0366999,.2068147,12.05674,-12.05674,-1.238636,-.0326884,17,5
262,.69339795,.1238197,.0008764,.9023406,1752,.2048499,1.311498,5.123978,.0440787,.2406515,21.38024,-21.38024,-.1954501,-.6189502,22,5
263,7.77e-214,.0672548,.0001438,.9047073,732,.2031402,2.198838,7.478742,.0550837,.0813481,2.844581,-2.844579,2.693474,2.70974,16,5
