hrr,mfx_10,pfx_10,pfx_fam_10,pfx_m0_10,mfx_25,pfx_25,pfx_fam_25,pfx_m0_25,mfx_50,pfx_50,pfx_fam_50,pfx_m0_50,mfx_75,pfx_75,pfx_fam_75,pfx_m0_75,mfx_90,pfx_90,pfx_fam_90,pfx_m0_90,mfx_mean,pfx_mean,pr_mean,pr_obs,pfx_fam_mean,pfx_m0_mean,mfx_sd,pfx_sd,pfx_fam_sd,pfx_m0_sd,mfx_count,pfx_count,hrr_group,eta
69,.0011003,-.0086021,-.087397,-.0037287,.0018742,-.0051029,-.0091556,-.0010991,.0038038,-.0029615,.1969546,.0003824,.0064855,-.0015456,.2455353,.0015936,.0106822,-.0008875,.2761986,.0023831,.0051018,-.0039685,.6729062,.5206612,.1406505,-.0000294,.0045387,.0034856,.1427099,.0038085,2057,2057,26,5
65,0,0,-.0041933,0,0,0,.0181538,0,0,0,.0772185,0,0,0,.2178713,0,0,0,.3797642,0,0,0,.2152748,.198914,.1375661,0,0,0,.1580276,0,5525,5525,25,5
62,.009132,-.0356809,-.0611095,-.013482,.0143518,-.0264206,-.0079502,-.0023978,.0246198,-.0180387,.0436297,.0011102,.0351194,-.0113091,.197135,.0056033,.0460033,-.0066115,.3696291,.0129837,.0261302,-.0198949,.270707,.2604549,.0992182,.0004617,.0143948,.0112595,.1634315,.0126566,1363,1363,24,5
58,.0025088,-.0189758,-.0238431,-.0075147,.005784,-.013392,-.0025732,-.0007488,.0108674,-.0082721,.0345071,.000401,.0176726,-.0042193,.1702502,.0029494,.0246526,-.0018591,.3677912,.0067709,.0124292,-.0094611,.2231773,.2066793,.1068074,.0001418,.0083417,.0064695,.1622623,.0066754,8414,8414,23,5
56,.0000412,-.0003682,-.0050005,-.000179,.0001035,-.0002734,.0090394,-.0000144,.0002127,-.0001631,.0570285,9.20e-06,.0003556,-.0000791,.1909481,.0000582,.0004817,-.0000308,.3969815,.0001425,.0002403,-.0001843,.1920937,.1905131,.1292411,-2.06e-06,.0001657,.0001268,.1710225,.0001546,36071,36071,22,5
43,3.98e-06,-.0000114,-.0141118,-8.40e-06,6.69e-06,-9.92e-06,.028788,-5.03e-07,9.89e-06,-7.45e-06,.1335727,7.15e-07,.0000128,-5.19e-06,.2576952,1.77e-06,.000015,-3.10e-06,.4025346,3.87e-06,9.73e-06,-7.39e-06,.3526907,.1387529,.1644612,-3.94e-07,4.13e-06,3.10e-06,.1679311,5.27e-06,3063,3063,21,5
33,0,0,-.0393516,0,0,0,-.0146888,0,0,0,.0191299,0,0,0,.2528172,0,0,0,.4971249,0,0,0,.2572428,.2617909,.1296322,0,0,0,.2024743,0,7739,7739,20,5
31,.0015047,-.0136057,-.0311153,-.007144,.0032411,-.0092884,-.00349,-.0010669,.0066336,-.005172,.1453409,.0004801,.0123304,-.0025568,.3181108,.0025811,.017325,-.0011982,.4052284,.0059647,.008231,-.0063728,.4555065,.3126879,.1623647,.0002063,.0061379,.0047296,.174379,.0067908,3326,3326,19,5
25,.0035796,-.0178537,-.0399441,-.0103922,.0067352,-.0140308,-.0120317,-.0018648,.0125746,-.0098417,.0592954,.0003291,.0182063,-.0049847,.1979617,.0036774,.0229214,-.0025513,.3011199,.0093424,.0129142,-.0099769,.2750482,.2503425,.0999575,.000089,.0073052,.0057007,.1411064,.0086385,5840,5840,18,5
23,4.41e-38,0,-.0130465,0,1.35e-37,0,.0038038,0,3.33e-37,0,.0682172,0,5.75e-37,0,.2342447,0,7.50e-37,0,.4468026,0,3.69e-37,0,.2393454,.2310164,.1460991,0,2.63e-37,0,.1910993,0,12761,12761,17,5
22,.0012358,-.0485332,-.0234825,-.0098544,.0058728,-.0411276,0,-.0012076,.0312283,-.0225342,.0722394,.0012874,.0543988,-.0041137,.1954475,.0067425,.0646011,-.001016,.2424055,.0113891,.0311957,-.0233291,.6002119,.2968981,.0948509,.0004848,.0249211,.0188027,.1050848,.018248,677,677,16,5
21,.0031134,-.0358531,-.054942,-.0120257,.0081844,-.0262424,-.0196546,-.0016653,.019493,-.0146796,.0679516,.0006728,.0340486,-.0061179,.2669523,.0048739,.04607,-.0020763,.4012794,.0105896,.0220966,-.0169607,.3651404,.3550276,.1271046,.000212,.0158351,.0123269,.1846356,.0118257,2904,2904,15,5
19,.0016047,-.0060177,-.0594788,-.0041013,.0029616,-.0048999,-.0227282,-.0006461,.0047027,-.0035411,.0187919,.0003019,.0064352,-.0022301,.1034574,.0014258,.0079219,-.0011923,.2087668,.003125,.004757,-.003596,.2444174,.2112463,.0511738,3.69e-06,.0023851,.0018035,.1166662,.0030924,27049,27049,14,5
18,7.18e-32,0,-.1411666,0,2.60e-31,0,-.0249555,0,5.66e-31,0,.068727,0,8.82e-31,0,.2234764,0,1.16e-30,0,.3108595,0,5.94e-31,0,.5323068,.3994667,.0863591,0,4.00e-31,0,.1686074,0,1875,1875,13,5
16,.0023618,-.0128324,-.0180247,-.0055529,.0045217,-.0097133,.0073541,-.0004947,.0080213,-.0061041,.0930466,.0007657,.0127459,-.0034329,.2228318,.0018909,.0162828,-.0018095,.3352847,.0037572,.0087503,-.0066599,.4598007,.2267393,.1229867,.0000356,.00517,.0039608,.1412036,.0044261,2386,2386,12,5
15,.0110947,-.0362009,-.0707895,-.0210859,.0171319,-.0271764,-.0360198,-.0037933,.0246388,-.0189724,.0266808,.0013144,.0353049,-.0128321,.2001068,.0083787,.0474584,-.0080234,.329686,.0171387,.0271462,-.0206761,.3004816,.2572498,.0855745,.0001391,.0138304,.0106961,.1564122,.0174284,7483,7483,11,5
14,.0026501,-.01652,-.0301421,-.0078586,.0051656,-.012297,-.0081539,-.0009727,.0095347,-.0071958,.0233826,.0004176,.016234,-.0038673,.1316977,.0029315,.0215593,-.0019811,.2651337,.0065193,.0109858,-.0082983,.2260858,.1303151,.0744214,.0000431,.0071437,.0054371,.1229579,.0066909,9078,9078,10,5
12,.0004258,-.0025142,-.0326952,-.0011519,.0008022,-.0018249,-.0129032,-.0001273,.0014119,-.0011111,.0166901,.0000443,.0023286,-.0006169,.12602,.0004108,.0031942,-.0003287,.2986235,.0010604,.0016389,-.0012819,.1986425,.1992752,.0744735,.0000105,.0010688,.0008357,.1387978,.0010875,36146,36146,9,5
11,.0006995,-.0044125,-.0217163,-.0020055,.0012225,-.0028393,-.0075235,-.000225,.0022004,-.001663,.0128503,.0001213,.0037025,-.0008946,.0764171,.0006675,.0056502,-.0005237,.2421455,.0017213,.0027115,-.0020673,.1432235,.1411128,.0603429,7.49e-06,.0019389,.0015097,.1132351,.0017804,16625,16625,8,5
9,.0014317,-.0132723,-.0528584,-.0063763,.0037024,-.0093673,-.0108587,-.0019608,.0073374,-.0052628,.021744,1.04e-10,.0127942,-.0024883,.1331855,.0017287,.0172745,-.0010542,.2493401,.0056418,.0082908,-.0061061,.3133599,.2828947,.0697967,-.0001355,.005723,.0044289,.140093,.0056075,304,304,6,5
7,7.39e-19,0,-.0538437,0,1.39e-18,0,-.0183542,0,2.73e-18,0,.0774393,0,4.80e-18,0,.1994046,0,6.77e-18,0,.2881784,0,3.28e-18,0,.4296636,.2929702,.0978957,0,2.29e-18,0,.1391692,0,2717,2717,5,5
6,1.94e-22,0,-.0611683,0,4.16e-22,0,-.0262771,0,9.08e-22,0,.0359229,0,1.61e-21,0,.2601871,0,2.26e-21,0,.3902257,0,1.08e-21,0,.3472222,.2932612,.112324,0,7.96e-22,0,.1787901,0,7761,7761,4,5
5,.0014553,-.0059432,-.0778546,-.0042466,.0026327,-.0047406,-.0099694,-.0012642,.0043265,-.0033115,.043799,.0001869,.0062802,-.0020239,.1423677,.001391,.0076624,-.0010844,.2593318,.0037947,.0044746,-.0034066,.4259506,.4078696,.0695916,-.0000116,.0023163,.0017506,.1244968,.0034356,5769,5769,3,5
2,.0035355,-.0212852,-.056878,-.0071525,.0074604,-.0160723,.0327637,-.00178,.0133045,-.010158,.2131833,.0017635,.0209989,-.0057904,.3200965,.0047715,.0282238,-.0028099,.3918301,.0080059,.0146323,-.0111532,.5849116,.1812451,.1835064,.0007491,.0089897,.006678,.1766306,.0078136,1269,1269,2,5
1,.0015445,-.0083956,-.0398288,-.0053443,.0030272,-.0062563,-.0107486,-.0008181,.0056227,-.0040905,.0240751,.0003053,.008528,-.0021719,.1287879,.0017554,.0114668,-.0010842,.2826881,.0044179,.0060937,-.0044445,.207631,.2082093,.0760625,-6.56e-06,.0037933,.002794,.1383877,.0044366,23851,23851,1,5
