true_alpha,base_failure_rate,failure_sd,n_reps,bias,rel_bias,rmse,coverage_95,reject_null
0.1,0.05,0.005,27,0.632268683051052,6.322686830510519,0.8076387603132884,1,0
0.1,0.05,0.01,32,0.9541487249767417,9.541487249767417,1.45974304347087,0.9375,0.0625
0.1,0.05,0.02,30,0.821719731637532,8.21719731637532,1.2315198453848815,0.8666666666666667,0.13333333333333333
0.1,0.05,0.03,26,0.5806725953529501,5.806725953529501,0.6968043521003421,1,0
0.1,0.09,0.005,27,0.4620602416721935,4.620602416721935,0.6480137096526702,0.9629629629629629,0.037037037037037035
0.1,0.09,0.01,30,0.625896793211106,6.2589679321110605,0.7921153791602027,0.9333333333333333,0.1
0.1,0.09,0.02,21,0.2695009477139946,2.6950094771399455,0.4336818349372017,0.9047619047619048,0
0.1,0.09,0.03,35,0.3727571830502379,3.727571830502379,0.588559467136442,0.9428571428571428,0.029411764705882353
0.1,0.09,0.05,26,0.6515680147436371,6.515680147436371,0.7730934926601328,0.9615384615384616,0.07692307692307693
0.1,0.09,0.08,24,0.5845483397618941,5.845483397618941,0.764291291601738,0.9583333333333334,0.08333333333333333
0.1,0.15,0.005,31,0.3912013386732048,3.9120133867320477,0.6097237989489496,0.9354838709677419,0.06451612903225806
0.1,0.15,0.01,30,0.3731832281262902,3.7318322812629017,0.5976748588035254,0.9333333333333333,0.13333333333333333
0.1,0.15,0.02,32,0.35354655147798175,3.5354655147798173,0.5112071517581065,0.9375,0.0625
0.1,0.15,0.03,34,0.424913682761712,4.24913682761712,0.6295026486827983,0.8823529411764706,0.11764705882352941
0.1,0.15,0.05,29,0.47304958295554267,4.7304958295554265,0.6121920984476652,0.9655172413793104,0.13793103448275862
0.1,0.15,0.08,27,0.4719013528670429,4.719013528670429,0.6829510736346281,0.8888888888888888,0.07692307692307693
0.1,0.2,0.005,35,0.3332170375403721,3.332170375403721,0.4264109813566603,1,0.05714285714285714
0.1,0.2,0.01,38,0.3611611968351723,3.6116119683517227,0.5098442205250786,0.9210526315789473,0.08108108108108109
0.1,0.2,0.02,28,0.22284779949044659,2.2284779949044657,0.36900569771797803,0.8571428571428571,0.07692307692307693
