config_id,true_alpha,base_failure_rate,failure_sd,eta,n_reps,mean_alpha,median_alpha,bias,rel_bias,rmse,sd_hat,mean_se,coverage_95,reject_null,alpha_label
57,0.1,0.15,0.01,1,30,0.4731832281262902,0.29906201825763595,0.3731832281262902,3.7318322812629017,0.5976748588035254,0.47483156551711736,0.5310635455426638,0.9333333333333333,0.13333333333333333,alpha = 0.1
58,0.1,0.2,0.01,1,38,0.46116119683517226,0.4497155937880808,0.3611611968351723,3.6116119683517227,0.5098442205250786,0.36469688731838573,0.4674576904402091,0.9210526315789473,0.08108108108108109,alpha = 0.1
59,0.1,0.05,0.02,1,30,0.921719731637532,0.6177680024041072,0.821719731637532,8.21719731637532,1.2315198453848815,0.9329695705284717,0.9699617219236473,0.8666666666666667,0.13333333333333333,alpha = 0.1
60,0.1,0.09,0.02,1,21,0.36950094771399455,0.24691506439362929,0.2695009477139946,2.6950094771399455,0.4336818349372017,0.34816897017474846,0.6064024085688725,0.9047619047619048,0,alpha = 0.1
61,0.1,0.15,0.02,1,32,0.45354655147798173,0.33238515037901756,0.35354655147798175,3.5354655147798173,0.5112071517581065,0.37514740390227863,0.5467137798556643,0.9375,0.0625,alpha = 0.1
62,0.1,0.2,0.02,1,28,0.3228477994904466,0.29928144190825823,0.22284779949044659,2.2284779949044657,0.36900569771797803,0.29951280006634534,0.4379882868698443,0.8571428571428571,0.07692307692307693,alpha = 0.1
63,0.1,0.05,0.03,1,26,0.6806725953529501,0.558710023611862,0.5806725953529501,5.806725953529501,0.6968043521003421,0.3927974895496768,0.9148414206063441,1,0,alpha = 0.1
64,0.1,0.09,0.03,1,35,0.47275718305023795,0.3697065601109753,0.3727571830502379,3.727571830502379,0.588559467136442,0.4621211169676779,0.6679472758943117,0.9428571428571428,0.029411764705882353,alpha = 0.1
65,0.1,0.15,0.03,1,34,0.524913682761712,0.4513838270648842,0.424913682761712,4.24913682761712,0.6295026486827983,0.47144350201746704,0.5430500488641181,0.8823529411764706,0.11764705882352941,alpha = 0.1
66,0.1,0.2,0.03,1,35,0.3389820707210175,0.2963802549051737,0.23898207072101751,2.389820707210175,0.3627508428310625,0.2768866318602428,0.4673741764668205,0.9428571428571428,0.029411764705882353,alpha = 0.1
67,0.1,0.09,0.05,1,26,0.7515680147436372,0.7582817953951684,0.6515680147436371,6.515680147436371,0.7730934926601328,0.424332390206943,0.7072507937330778,0.9615384615384616,0.07692307692307693,alpha = 0.1
68,0.1,0.15,0.05,1,29,0.5730495829555426,0.4460688674879816,0.47304958295554267,4.7304958295554265,0.6121920984476652,0.39546963340858354,0.5525012553299286,0.9655172413793104,0.13793103448275862,alpha = 0.1
69,0.1,0.2,0.05,1,23,0.5186500476921484,0.3703494770442646,0.41865004769214836,4.186500476921483,0.5993771786872951,0.43857508000681134,0.46293048460835523,0.8260869565217391,0.22727272727272727,alpha = 0.1
70,0.1,0.09,0.08,1,24,0.6845483397618942,0.5974211636319995,0.5845483397618941,5.845483397618941,0.764291291601738,0.5029766182480137,0.6740324286355912,0.9583333333333334,0.08333333333333333,alpha = 0.1
71,0.1,0.15,0.08,1,27,0.5719013528670429,0.4793444667636123,0.4719013528670429,4.719013528670429,0.6829510736346281,0.5030959771487843,0.5350654203838822,0.8888888888888888,0.07692307692307693,alpha = 0.1
72,0.1,0.2,0.08,1,27,0.47117239070328343,0.3754092021653036,0.37117239070328345,3.7117239070328343,0.5179195282277105,0.3680894404624542,0.45941552569034216,0.8888888888888888,0.15384615384615385,alpha = 0.1
73,0.2,0.02,0.005,1,34,1.5104309748833558,1.1679338053379789,1.3104309748833556,6.552154874416778,1.868891249887532,1.352526878409479,1.8476749483629045,0.9411764705882353,0,alpha = 0.2
74,0.2,0.05,0.005,1,26,0.6523823844170188,0.6424371538751963,0.45238238441701883,2.261911922085094,0.6524312424771522,0.4794344299345129,0.9137706780147057,1,0,alpha = 0.2
75,0.2,0.09,0.005,1,30,0.45606100653656484,0.425313801895681,0.25606100653656483,1.2803050326828243,0.4038311411737204,0.31760800744457685,0.6629530481588016,1,0,alpha = 0.2
76,0.2,0.15,0.005,1,34,0.5051954108296444,0.41252280301570066,0.30519541082964435,1.5259770541482218,0.46994500750015605,0.3627311561263392,0.5336548536692711,0.9705882352941176,0.09090909090909091,alpha = 0.2
77,0.2,0.2,0.005,1,36,0.41611181262098457,0.3530872139016652,0.21611181262098453,1.0805590631049227,0.4059300076155817,0.3484945090374765,0.45522481421943156,0.9166666666666666,0.11764705882352941,alpha = 0.2
78,0.2,0.02,0.01,1,33,1.5211170363488358,1.2046362779482669,1.3211170363488356,6.605585181744178,1.7956121779832908,1.2349443903180328,1.6045963030471133,0.9090909090909091,0.15151515151515152,alpha = 0.2
79,0.2,0.05,0.01,1,34,1.0518043477336905,0.7933659701580144,0.8518043477336905,4.259021738668452,1.2419333605952232,0.9173767948258794,1.0313505022316187,0.9117647058823529,0.11764705882352941,alpha = 0.2
80,0.2,0.09,0.01,1,28,0.6812336068426722,0.5742915147718337,0.48123360684267213,2.4061680342133607,0.7178125451079471,0.5423793204455083,0.6458139401743479,0.8571428571428571,0.14814814814814814,alpha = 0.2
81,0.2,0.15,0.01,1,33,0.5159150491409995,0.4020172921482726,0.3159150491409995,1.5795752457049974,0.4793159171292181,0.36606297249452563,0.5479525489831507,0.9696969696969697,0.09090909090909091,alpha = 0.2
82,0.2,0.2,0.01,1,34,0.497475832589303,0.40510708576423105,0.297475832589303,1.4873791629465147,0.4691120758078273,0.3681865936524087,0.4667110177337564,0.9411764705882353,0.11764705882352941,alpha = 0.2
83,0.2,0.05,0.02,1,26,0.8248561022381883,0.6276602928043953,0.6248561022381882,3.124280511190941,0.9027896093562418,0.66450529528935,0.9675241593129007,0.9230769230769231,0.07692307692307693,alpha = 0.2
84,0.2,0.09,0.02,1,23,0.7471137698449035,0.6610901784630175,0.5471137698449036,2.7355688492245176,0.8229323672384938,0.6285385896007838,0.6925139800097638,0.9130434782608695,0.13043478260869565,alpha = 0.2
85,0.2,0.15,0.02,1,33,0.49995665369933884,0.4640401123633721,0.2999566536993388,1.499783268496694,0.41168887399919185,0.2863538703965762,0.551107673465165,1,0,alpha = 0.2
86,0.2,0.2,0.02,1,36,0.4479499150586501,0.37783500685615096,0.2479499150586501,1.2397495752932504,0.42640418893508186,0.3518233887578318,0.4872332945335832,1,0.1388888888888889,alpha = 0.2
87,0.2,0.05,0.03,1,34,0.9853535984543375,0.5974345615433315,0.7853535984543374,3.926767992271687,1.2391073408435942,0.9728531723894073,1.0034265282984658,0.9705882352941176,0.058823529411764705,alpha = 0.2
88,0.2,0.09,0.03,1,25,0.6345727344714077,0.5398690277903483,0.43457273447140776,2.172863672357039,0.7443157267519624,0.6167391057208548,0.663839674809666,0.92,0.125,alpha = 0.2
89,0.2,0.15,0.03,1,27,0.6330251652891148,0.6993628920698048,0.43302516528911483,2.165125826445574,0.6099078148146289,0.43768939713849064,0.5790542902959585,0.9629629629629629,0.07407407407407407,alpha = 0.2
90,0.2,0.2,0.03,1,38,0.4799014622110375,0.37505088348451593,0.2799014622110375,1.3995073110551874,0.4595885729763491,0.36941588146757737,0.4627957017115242,0.9210526315789473,0.10810810810810811,alpha = 0.2
