coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi,rho,tot_spec,tot_pcp
-.07962026,.00295574,134,1,1,-8302.273,.21726338,.1952737,5487,443,317,11.88227,22.85281,.5,3.345878,.0999402,.126663,.8890252,62,261
-.07960518,.00295591,134,5,1,-8302.53,.34152285,.4531156,5487,443,317,11.88227,22.85281,.5,3.345878,.0999402,.126663,.8890252,62,261
-.11684432,.00533236,137,5,1,-16712.59,,,7788,816,550,13.21225,48.90818,.553413,3.537261,.1758663,.0387776,.913891,80,510
-.03206817,.01314421,139,1,1,-3599.284,.34877171,.3108534,1812,290,205,9.01766,25.84275,.4821592,2.823627,.2535245,.0248344,.8769396,53,193
-.03216935,.01315549,139,5,1,-3599.521,.63307037,.7946237,1812,290,205,9.01766,25.84275,.4821592,2.823627,.2535245,.0248344,.8769396,53,193
-.08545278,.00605872,140,1,1,-2268.74,,,2464,221,173,8.787744,18.80607,.6393443,3.006953,.142137,.03125,.8952862,44,149
-.08545278,.00605872,140,5,1,-2268.74,,,2464,221,173,8.787744,18.80607,.6393443,3.006953,.142137,.03125,.8952862,44,149
-.07770967,.00438577,141,1,1,-7474.345,0,0,3891,479,362,11.19841,31.61756,.4681892,2.696225,.2501926,.1369828,.8899305,97,334
-.07771196,.00438297,141,5,1,-7474.45,,,3891,479,362,11.19841,31.61756,.4681892,2.696225,.2501926,.1369828,.8899305,97,334
-.01501404,.00770417,142,1,1,-546.7382,1.8992026,1.177393,708,65,74,10.58051,31.79399,.3961039,2.376956,.1973611,.1101695,.8776349,29,48
-.0153639,.00783165,142,5,1,-546.6072,4.1328357,2.513624,708,65,74,10.58051,31.79399,.3961039,2.376956,.1973611,.1101695,.8776349,29,48
-.07915666,.0021334,144,1,1,-42712.81,.34924505,.1434929,18566,1270,726,11.95432,26.47047,.4031224,2.274353,.0813143,.0365722,.9071889,221,1000
-.07917642,.00213425,144,5,1,-42712.15,.82685312,.3416504,18566,1270,726,11.95432,26.47047,.4031224,2.274353,.0813143,.0365722,.9071889,221,1000
-.09136891,.00503365,145,1,1,-6488.046,.28184602,.2546694,3173,225,175,12.45698,17.43531,.3712785,2.869427,.2815811,.0135518,.9068937,57,178
-.09133792,.00502455,145,5,1,-6488.639,.21819773,.5953987,3173,225,175,12.45698,17.43531,.3712785,2.869427,.2815811,.0135518,.9068937,57,178
-.06651619,.01312968,146,1,1,-3152.067,0,0,1869,126,75,10.71215,36.62413,.5870166,3.689451,.4331329,.0053505,.8970761,24,103
-.05015886,.00297045,147,1,1,-3692.399,.03002008,.318972,2384,227,192,10.04866,23.27738,.466199,2.458564,.1591201,.0192953,.8996856,78,187
-.09273919,.00596749,148,1,1,-2876.327,.55888552,.3128083,1504,161,122,9.489362,22.8191,.6973214,3.499665,.2707143,.2573138,.8716896,75,143
-.0928039,.00597196,148,5,1,-2876.738,1.0361879,.6932726,1504,161,122,9.489362,22.8191,.6973214,3.499665,.2707143,.2573138,.8716896,75,143
-.04165395,.00304666,149,1,1,-7366.305,.24688615,.2311854,4999,346,305,11.47309,35.26285,.675,3.449678,.1698469,.0784157,.9024804,46,209
-.04163041,.00304528,149,5,1,-7366.552,.37603089,.4897247,4999,346,305,11.47309,35.26285,.675,3.449678,.1698469,.0784157,.9024804,46,209
-.05857023,.00437342,151,1,1,-4780.068,.11073501,.2915987,3056,270,192,10.23298,14.92105,.4576271,2.37311,.1487024,.3275523,.9009904,39,197
-.06372436,.0054528,152,1,1,-2332.961,,,1262,96,81,10.97861,9.215608,.4164905,2.594226,.0916225,.0198098,.9061006,19,67
-.06372436,.0054528,152,5,1,-2332.961,,,1262,96,81,10.97861,9.215608,.4164905,2.594226,.0916225,.0198098,.9061006,19,67
-.02737271,.01164928,154,1,1,-2293.329,.08409718,.4873564,1484,244,131,6.493935,32.83685,.7771689,2.688391,.128817,.2486523,.9061968,76,201
-.02763688,.01162738,154,5,1,-2293.137,.5786218,.8732108,1484,244,131,6.493935,32.83685,.7771689,2.688391,.128817,.2486523,.9061968,76,201
-.06950115,.00507825,155,1,1,-14173.37,0,0,5345,543,280,12.13901,35.70171,.668941,3.467781,.0706084,.053508,.8746015,155,487
-.10908409,.00478328,156,1,1,-9901.44,.30202831,.2511003,3834,731,319,6.149452,35.20556,.5018821,2.280702,.1044222,.1356286,.8881692,169,660
-.10911407,.00478298,156,5,1,-9901.261,.73291636,.5421631,3834,731,319,6.149452,35.20556,.5018821,2.280702,.1044222,.1356286,.8881692,169,660
-.07655317,.00423438,158,1,1,-9789.84,.33093742,.2666154,4748,655,317,10.25358,31.46312,.6135537,2.631479,.0925746,.0494945,.9037908,153,533
-.076535,.0042322,158,5,1,-9790.359,.45660318,.5911977,4748,655,317,10.25358,31.46312,.6135537,2.631479,.0925746,.0494945,.9037908,153,533
-.055932,.0037203,161,1,1,-20158.67,,,7853,699,306,11.15064,39.37155,.4568041,2.535181,.3854575,.1049281,.9076349,140,626
-.055932,.0037203,161,5,1,-20158.67,,,7853,699,306,11.15064,39.37155,.4568041,2.535181,.3854575,.1049281,.9076349,140,626
-.09811211,.01030505,163,1,1,-7661.993,.15399259,.2798894,3161,433,214,9.274913,30.74713,.537997,2.875996,.2089237,.2603607,.8989275,113,366
-.09816654,.0103085,163,5,1,-7662.16,.0552655,.6809655,3161,433,214,9.274913,30.74713,.537997,2.875996,.2089237,.2603607,.8989275,113,366
-.07310042,.00510069,164,1,1,-8778.412,.21120702,.2217005,4112,609,299,9.303745,30.59099,.7924099,3.372554,.115218,.0744163,.8791265,147,502
-.07311253,.00509982,164,5,1,-8778.588,.33204543,.4825025,4112,609,299,9.303745,30.59099,.7924099,3.372554,.115218,.0744163,.8791265,147,502
-.14089966,.00473661,166,1,1,-17521.21,.43167734,.2069119,6726,841,378,9.97755,30.96654,.6311927,2.776763,.0731936,.2276241,.8978431,176,746
-.14093823,.00473678,166,5,1,-17521.88,.79595138,.468481,6726,841,378,9.97755,30.96654,.6311927,2.776763,.0731936,.2276241,.8978431,176,746
-.08412981,.00385618,170,1,1,-8688.834,.0541338,.2449161,4729,346,230,10.7731,32.53447,.8545155,3.403826,.1824092,.2180165,.8984025,89,292
-.08413901,.00385688,170,5,1,-8688.863,,,4729,346,230,10.7731,32.53447,.8545155,3.403826,.1824092,.2180165,.8984025,89,292
-.07278522,.00255306,171,1,1,-9383.243,.26295672,.2281814,5386,519,316,9.551059,28.19357,.8360738,3.059791,.1493839,.2695878,.8969237,149,440
-.07278875,.00255327,171,5,1,-9383.629,.38977445,.5062529,5386,519,316,9.551059,28.19357,.8360738,3.059791,.1493839,.2695878,.8969237,149,440
-.06952602,.00305692,172,1,1,-5091.563,,,4372,405,267,9.646615,24.16543,.6546698,3.439436,.1079793,.1349497,.8926806,114,297
-.06952602,.00305692,172,5,1,-5091.563,,,4372,405,267,9.646615,24.16543,.6546698,3.439436,.1079793,.1349497,.8926806,114,297
-.0411186,.00271966,173,1,1,-2674.186,.41534561,.3131373,1679,222,176,8.722454,20.24041,.7005742,2.979641,.1301631,.4860036,.8745469,77,181
-.04111926,.00272147,173,5,1,-2674.337,.78873059,.6694827,1679,222,176,8.722454,20.24041,.7005742,2.979641,.1301631,.4860036,.8745469,77,181
-.05669974,.0072377,175,1,1,-2325.162,,,1387,103,84,9.149964,14.98479,.4680851,2.661103,.3396837,.1824081,.9005198,27,82
-.05669974,.0072377,175,5,1,-2325.162,,,1387,103,84,9.149964,14.98479,.4680851,2.661103,.3396837,.1824081,.9005198,27,82
-.07746783,.00404346,179,1,1,-10204.92,.17703393,.1834539,4958,336,250,12.06091,22.07669,.4337418,2.894716,.2236769,.0699879,.8943921,85,266
-.07746365,.00404545,179,5,1,-10204.91,.406345,.4121326,4958,336,250,12.06091,22.07669,.4337418,2.894716,.2236769,.0699879,.8943921,85,266
-.06266414,.00304956,180,1,1,-8180.246,4.454e-07,.0000758,3952,389,249,9.039221,24.43615,.4193793,2.073556,.2498504,.1024798,.8993222,102,319
-.06266863,.00304926,180,5,1,-8180.223,.11799552,.5900151,3952,389,249,9.039221,24.43615,.4193793,2.073556,.2498504,.1024798,.8993222,102,319
-.07407458,.0046214,181,1,1,-6265.597,0,0,2849,342,236,10.29309,23.58452,.4983642,2.711245,.1488373,.0979291,.8873649,132,305
-.07409072,.00462177,181,5,1,-6265.66,,,2849,342,236,10.29309,23.58452,.4983642,2.711245,.1488373,.0979291,.8873649,132,305
-.05444867,.00152981,183,5,1,-34702.29,,,14975,1066,524,12.26584,22.0546,.5191777,2.563456,.0706503,.1835726,.8992292,208,900
