coef_val,coef_se,hrr,eta,converged,log_like,fmly_level,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
2.1142068,.11528641,11,5,1,-10711.95,5,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
2.7009526,.13148243,11,5,1,-10711.95,10,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.8780143,.11804625,11,5,1,-10711.95,4,6300,602,367,19.20572,26.46061,.568403,5.300909,.1421855,.0114286
1.9241249,.1257335,14,1,1,-8304.85,7,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.6760983,.12914507,14,1,1,-8304.85,5,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
2.7529351,.14956995,14,1,1,-8304.85,20,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.4902461,.1183449,14,1,1,-8304.85,3,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.2384633,.10368351,14,1,1,-8304.85,2,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.7241498,.12942636,14,1,1,-8304.85,4,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
2.3444091,.1456022,14,1,1,-8304.85,10,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
.88039648,.09384896,14,1,1,-8304.85,1,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
2.6158307,.15954688,14,1,1,-8304.85,15,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
.91220771,.07116323,14,5,1,-8305.058,1,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.5280294,.10347275,14,5,1,-8305.058,3,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.9649798,.1112115,14,5,1,-8305.058,7,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
2.6592884,.12936281,14,5,1,-8305.058,15,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.7630373,.10473032,14,5,1,-8305.058,4,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.274072,.0793866,14,5,1,-8305.058,2,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
1.7154675,.11196632,14,5,1,-8305.058,5,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
2.3867897,.11958385,14,5,1,-8305.058,10,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
2.7955264,.13029414,14,5,1,-8305.058,20,3600,420,258,13.85472,33.09129,.5878151,4.163976,.2445769,.0175
3.0755064,.15212006,15,1,1,-6377.457,15,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
3.2343699,.17804324,15,1,1,-6377.457,20,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
1.4670704,.10943818,15,1,1,-6377.457,2,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
2.1565052,.13141943,15,1,1,-6377.457,5,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
1.7560902,.11959411,15,1,1,-6377.457,3,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
1.0459101,.08968795,15,1,1,-6377.457,1,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
2.7073079,.13034316,15,1,1,-6377.457,10,4608,364,288,10.82834,28.67045,.3900929,2.319511,.2072553,.0405816
