coef_val,coef_se,hrr,eta,converged,log_like,Specialist_ID,time_period,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
-1.7314104,.8618072,1,1,1,-16708.57,1174507693,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.262616,.25800954,1,1,1,-16708.57,1174507693,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8098698,.30159736,1,1,1,-16708.57,1174575070,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.916629,.29389475,1,1,1,-16708.57,1174575070,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.09511809,1.0194339,1,1,1,-16708.57,1184642977,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.29208275,.63060695,1,1,1,-16708.57,1184642977,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4668788,.24970816,1,1,1,-16708.57,1184646473,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.5126211,.26722907,1,1,1,-16708.57,1184646473,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.98612391,.84670539,1,1,1,-16708.57,1184677346,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2172415,.86535214,1,1,1,-16708.57,1184677346,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.61346314,.52312872,1,1,1,-16708.57,1184684334,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.42698314,.459049,1,1,1,-16708.57,1184684334,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8038789,.583606,1,1,1,-16708.57,1184784019,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3746549,.36408821,1,1,1,-16708.57,1194043521,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.0706936,.47962855,1,1,1,-16708.57,1205070901,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1623803,.80298261,1,1,1,-16708.57,1205817467,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6934206,.45628326,1,1,1,-16708.57,1205817467,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0169088,.22189051,1,1,1,-16708.57,1205834686,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.3656053,.25832622,1,1,1,-16708.57,1205834686,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.5785529,.29157665,1,1,1,-16708.57,1205895323,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1366812,.39551891,1,1,1,-16708.57,1205895323,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.35258657,.48556585,1,1,1,-16708.57,1215034483,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.25162886,.1903982,1,1,1,-16708.57,1225027790,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.2744784,.22402978,1,1,1,-16708.57,1225027790,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.603315,.75376727,1,1,1,-16708.57,1225265101,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1660084,.36354761,1,1,1,-16708.57,1235160847,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.2273115,.65243064,1,1,1,-16708.57,1245201151,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.27927617,.36639438,1,1,1,-16708.57,1255391587,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.434707,.24959657,1,1,1,-16708.57,1265430557,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.87506513,.47971069,1,1,1,-16708.57,1265430557,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.79451965,.33655204,1,1,1,-16708.57,1265476592,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-14.773118,.54699502,1,1,1,-16708.57,1265492441,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.76643973,.91235087,1,1,1,-16708.57,1265492441,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.56705263,.69530452,1,1,1,-16708.57,1275589434,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.1996825,.61217034,1,1,1,-16708.57,1275589434,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.2164653,.42957632,1,1,1,-16708.57,1285962852,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.184604,.29152433,1,1,1,-16708.57,1295702025,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.17096115,.37537303,1,1,1,-16708.57,1295992386,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.60479886,.24801159,1,1,1,-16708.57,1295992386,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.04749735,.21806071,1,1,1,-16708.57,1316936883,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.23113231,.22417579,1,1,1,-16708.57,1316936883,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-2.0464208,.35994564,1,1,1,-16708.57,1326199530,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-2.105208,.48404044,1,1,1,-16708.57,1326199530,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30794338,.22822754,1,1,1,-16708.57,1356373583,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.04796428,.31084997,1,1,1,-16708.57,1356373583,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.65420628,1.0868936,1,1,1,-16708.57,1366434078,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.6258936,.24827417,1,1,1,-16708.57,1366515033,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.1613286,.26713627,1,1,1,-16708.57,1366515033,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.8300976,.37438005,1,1,1,-16708.57,1366767261,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-12.566677,.993165,1,1,1,-16708.57,1376526178,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.22781569,.23722635,1,1,1,-16708.57,1376569327,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.08713915,.28371811,1,1,1,-16708.57,1376569327,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.12699013,.41028711,1,1,1,-16708.57,1376598458,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4022504,.36761627,1,1,1,-16708.57,1376598458,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4431922,.23833529,1,1,1,-16708.57,1396743779,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.9867513,.26814214,1,1,1,-16708.57,1396743779,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.20688253,.36729,1,1,1,-16708.57,1407065063,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3762692,.31557973,1,1,1,-16708.57,1427009349,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.98463074,.30937487,1,1,1,-16708.57,1427020122,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.3172577,.38652783,1,1,1,-16708.57,1427020122,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.97402033,.30132988,1,1,1,-16708.57,1427077338,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.39476304,.60281897,1,1,1,-16708.57,1427077338,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30083797,.99394332,1,1,1,-16708.57,1427216449,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-2.18316,.4345764,1,1,1,-16708.57,1437119765,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.36944171,.57011001,1,1,1,-16708.57,1437119765,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.2125621,.58552868,1,1,1,-16708.57,1437120730,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4658307,.5412758,1,1,1,-16708.57,1437120730,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.30872747,.23551007,1,1,1,-16708.57,1437194438,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
.29411603,.27232491,1,1,1,-16708.57,1437194438,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.4343432,.95851879,1,1,1,-16708.57,1437265055,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
1.4535702,.45366676,1,1,1,-16708.57,1437270691,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.2736773,.38694428,1,1,1,-16708.57,1437270691,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
-.93090766,1.0256425,1,1,1,-16708.57,1457350282,0,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
2.0682083,.82859462,1,1,1,-16708.57,1457350282,1,7974,674,400,11.05142,22.0148,.5583107,3.027735,.0396767,.0385001
