coef_dist,coef_dist_se,hrr,eta,converged,log_like,coef_m,coef_m_se,patients,pcp_total,spec_total,mean_choice_size,mean_spec_failures,mean_pair_failures,mean_pcp_failures,spec_hhi,mean_vi
-.055932,.0037203,161,1,1,-20158.67,1.034e-14,0,7853,699,306,11.15064,39.37155,.4568041,2.535181,.3854575,.1049281
-.055932,.0037203,161,5,1,-20158.67,2.961e-28,0,7853,699,306,11.15064,39.37155,.4568041,2.535181,.3854575,.1049281
-.09811569,.01030493,163,1,1,-7662.015,.10967801,.2130613,3161,433,214,9.274913,30.74713,.537997,2.875996,.2089237,.2603607
-.09814509,.01030785,163,5,1,-7662.132,.1124331,.4852962,3161,433,214,9.274913,30.74713,.537997,2.875996,.2089237,.2603607
-.07309737,.00510076,164,1,1,-8778.383,.17357291,.1765282,4112,609,299,9.303745,30.59099,.7924099,3.372554,.115218,.0744163
-.0731072,.00509951,164,5,1,-8778.442,.32693306,.3744376,4112,609,299,9.303745,30.59099,.7924099,3.372554,.115218,.0744163
-.14089677,.00473634,166,1,1,-17521.26,.33042166,.1614692,6726,841,378,9.97755,30.96654,.6311927,2.776763,.0731936,.2276241
-.14093192,.00473562,166,5,1,-17521.39,.66696307,.3525651,6726,841,378,9.97755,30.96654,.6311927,2.776763,.0731936,.2276241
-.08412465,.00385558,170,1,1,-8688.8,.06191334,.191194,4729,346,230,10.7731,32.53447,.8545155,3.403826,.1824092,.2180165
-.07278229,.00255303,171,1,1,-9383.238,.20478611,.1773232,5386,519,316,9.551059,28.19357,.8360738,3.059791,.1493839,.2695878
-.07278353,.00255279,171,5,1,-9383.409,.36738269,.375274,5386,519,316,9.551059,28.19357,.8360738,3.059791,.1493839,.2695878
-.06979516,.00309146,172,1,1,-56684.88,6.330e-15,0,4372,405,267,9.646615,24.16543,.6546698,3.439436,.1079793,.1349497
-.06979277,.00309127,172,5,1,-1035032,1.511e-28,0,4372,405,267,9.646615,24.16543,.6546698,3.439436,.1079793,.1349497
-.04111858,.00271997,173,1,1,-2674.267,.31129462,.2497572,1679,222,176,8.722454,20.24041,.7005742,2.979641,.1301631,.4860036
